B&R ranking,,
FEBS J* (159),J BIOL INORG CHEM (114),BIOCHEM J* (1033)
PROTEIN ENG DES SEL (96),FEBS J* (356),FEBS J* (1539)
BIOCHEMISTRY* (3346),PROTEIN ENG DES SEL (173),J BIOL INORG CHEM (265)
CELL CHEM BIOL* (154),ACTA CRYST D* (1766),FEBS LETT* (814)
PROTEINS* (398),BIOCHEM J (165),J AM CHEM SOC* (2369)
J MOL BIOL* (3855),FEBS LETT (232),PROTEIN ENG DES SEL (294)
ACTA CRYST D* (1074),CELL CHEM BIOL (204),CELL CHEM BIOL (902)
PROTEIN SCI (771),PROTEIN SCI* (1104),ACTA CRYST D* (4952)
BIOORG MED CHEM LETT (195),BIOCHEMISTRY* (4564),BIOCHEMISTRY* (8896)
J STRUCT BIOL (83),J MOL BIOL* (5497),NUCLEIC ACIDS RES (2127)
BIOPHYS J (71),BIOPHYS J (95),STRUCTURE (5348)
J BIOL INORG CHEM (81),PROTEINS (993),PROTEIN SCI (2235)
BIOCHEM J (67),J AM CHEM SOC (459),J MED CHEM (5525)
J BIOL CHEM (2849),BIOCHEM BIOPHYS RES COMMUN (167),J VIROL (957)
J AM CHEM SOC (324),NUCLEIC ACIDS RES (288),J BIOL CHEM (11055)
STRUCTURE (1412),J BACTERIOL (141),J STRUCT BIOL (1038)
FEBS LETT (173),BIOORG MED CHEM (59),J BACTERIOL (371)
J BACTERIOL (111),J BIOL CHEM (4090),BIOORG MED CHEM (659)
BIOORG MED CHEM (53),J STRUCT BIOL (117),PROTEINS (1999)
J MED CHEM (450),J MED CHEM (605),BIOCHEM BIOPHYS RES COMMUN (976)
NAT STRUCT MOL BIOL (768),STRUCTURE (2017),PNAS (7376)
PNAS* (1324),PNAS* (1839),BIOPHYS J (199)
J VIROL (86),J VIROL (141),J MOL BIOL* (9507)
BIOCHEM BIOPHYS RES COMMUN (103),SCIENCE* (712),NATURE* (3060)
EMBO J* (768),EMBO J* (1135),SCIENCE* (1949)
NUCLEIC ACIDS RES (199),NAT STRUCT MOL BIOL* (1342),MOL CELL* (1599)
NATURE* (807),NATURE* (976),BIOORG MED CHEM LETT* (1590)
MOL CELL* (422),BIOORG MED CHEM LETT* (323),NAT STRUCT MOL BIOL* (2915)
SCIENCE* (571),CELL* (647),CELL* (1563)
CELL* (488),MOL CELL* (571),EMBO J* (1910)
